,Imóvel,Preço,Quartos,Área,Casas de banhos
57,Terreno Nogueira,Venda 48.000 €,0 ,328 m2 ,- 
58,Escritório Matosinhos Centro,Venda 48.900 €,3 ,57 m2 ,- 
59,Loja Valongo,Venda 49.500 €,1 ,70 m2 ,- 
60,Lote de Terreno Foz do Sousa,Venda 49.500 €,3 ,300 m2 ,- 
61,Loja / escritório proximo amial,Venda 50.000 €,2 ,60 m2 ,- 
62,Terreno São Pedro da Cova,Venda 50.000 €,3 ,25.000 m2 ,- 
63,Escritório Av. Boavista,Venda 52.000 €,3 ,37 m2 ,- 
64,Loja com grandes montras Leça do Balio,Venda 55.000 €,3 ,74 m2 ,- 
65,Escritório Av. Boavista,Venda 55.000 €,2 ,39 m2 ,- 
66,Terreno para Moradia Leça do Balio,Venda 55.000 €,3 ,164 m2 ,- 
67,Terreno - Baguim do Monte,Venda 55.000 €,2 ,224 m2 ,- 
68,Terreno - Baguim do Monte,Venda 55.000 €,3 ,222 m2 ,- 
69,Terreno - Baguim do Monte,Venda 55.000 €,3 ,230 m2 ,- 
70,Terreno - Baguim do Monte,Venda 55.000 €,3 ,240 m2 ,- 
71,Terreno - Baguim do Monte,Venda 55.000 €,2 ,254 m2 ,- 
72,Terreno - Baguim do Monte,Venda 55.000 €,3 ,279 m2 ,- 
73,Terreno - Baguim do Monte,Venda 55.000 €,3 ,284 m2 ,- 
74,Terreno - Baguim do Monte,Venda 55.000 €,3 ,287 m2 ,- 
75,Terreno - Baguim do Monte,Venda 55.000 €,2 ,289 m2 ,- 
76,Terreno - Baguim do Monte,Venda 55.000 €,1 ,292 m2 ,1 
77,Terreno - Baguim do Monte,Venda 55.000 €,3 ,296 m2 ,- 
78,Terreno - Baguim do Monte,Venda 55.000 €,2 ,332 m2 ,- 
79,"Escritório Varziela, Fajozes",Venda 56.500 €,4 ,81 m2 ,- 
80,Escritório Av. Boavista,Venda 57.000 €,3 ,37 m2 ,- 
81,Armazém para retém Maia,Venda 58.000 €,3 ,139 m2 ,- 
82,Loja para restauração Lavra,Venda 58.300 €,1 ,88 m2 ,- 
83,Escritório Av. Boavista,Venda 59.000 €,2 ,42 m2 ,- 
84,Loja Valongo,Venda 59.500 €,4 ,85 m2 ,- 
85,Venda Terreno,Venda 60.000 €,4 ,300 m2 ,- 
86,Escritório Porto Boavista,Venda 60.000 €,5 ,40 m2 ,2 
87,Loja Porto,Venda 62.000 €,3 ,64 m2 ,1 
88,Venda Terreno,Venda 65.000 €,3 ,108 m2 ,- 
89,Escritório Av. Boavista,Venda 65.000 €,2 ,46 m2 ,- 
90,Loja Lordelo do Ouro,Venda 65.000 €,3 ,85 m2 ,- 
91,Escritório Porto,Venda 65.000 €,3 ,45 m2 ,- 
92,Loja com aparcamento Águas Santas,Venda 66.000 €,4 ,99 m2 ,- 
93,Loja para restauração centro,Venda 66.000 €,4 ,110 m2 ,- 
94,Escritório Av. Boavista,Venda 66.000 €,2 ,47 m2 ,1 
95,Escritório Av. Boavista,Venda 66.000 €,2 ,47 m2 ,- 
96,Restaurante para trepasse Porto Rotunda Boavista,Venda 66.000 €,1 ,100 m2 ,- 
97,Loja com terraço próxima metro,Venda 66.750 €,3 ,126 m2 ,- 
98,Terreno em s. Cosme,Venda 67.000 €,2 ,2.200 m2 ,- 
99,"Escritório com lugar de garagem Varziela, Fajozes",Venda 67.500 €,1 ,97 m2 ,- 
100,"Escritório com lugar de garagem Varziela, Fajozes",Venda 67.500 €,3 ,97 m2 ,- 
101,Terreno Leça do Balio,Venda 69.000 €,3 ,230 m2 ,- 
102,"Terreno Campo, Valongo",Venda 69.000 €,3 ,23.000 m2 ,- 
103,Escritório Av. Boavista,Venda 69.000 €,4 ,49 m2 ,- 
104,Loja Campanhã,Venda 69.500 €,3 ,115 m2 ,- 
105,Venda Terreno,Venda 70.000 €,4 ,225 m2 ,- 
106,Venda Terreno,Venda 70.000 €,3 ,600 m2 ,- 
107,Loja no Padrão da Légua,Venda 70.000 €,3 ,122 m2 ,- 
108,Terreno para construção de moradia em Moreira,Venda 70.000 €,3 ,198 m2 ,- 
109,Terreno Vila Nova da Telha,Venda 70.000 €,5 ,370 m2 ,- 
110,Escritório com terraço Varziela,Venda 71.500 €,3 ,94 m2 ,- 
111,T1 Valongo,Venda 71.500 €,2 ,70 m2 ,- 
112,Restaurante Maia Centro,Trespasse 72.500 €,2 ,150 m2 ,- 
113,Loja Leça da Palmeira,Venda 73.700 €,5 ,74 m2 ,- 
114,Loja Leça do Balio,Venda 74.500 €,4 ,300 m2 ,1 
115,Venda Terreno,Venda 75.000 €,2 ,200 m2 ,- 
116,Estúdio Matosinhos,Venda 75.000 €,4 ,35 m2 ,- 
117,Terreno - Moradia Custoias,Venda 75.000 €,2 ,250 m2 ,- 
118,Moradia T2 Sobrado,Venda 75.000 €,3 ,41 m2 ,- 
119,Loja Porto,Venda 77.000 €,3 ,90 m2 ,- 
120,Loja junto a Arca d’água,Venda 77.000 €,3 ,54 m2 ,- 
121,Loja com alvará de Cafetaria nos Altos,Venda 77.500 €,5 ,53 m2 ,- 
