,Imóvel,Preço,Quartos,Área,Casas de banhos
205,T0 Novo Matosinhos,Venda 160.000 €,,46 m2 ,- 
206,T0 Novo Matosinhos,Venda 160.000 €,,45 m2 ,2 
207,T0 Novo Matosinhos,Venda 160.000 €,,43 m2 ,- 
208,T0 Novo Matosinhos,Venda 160.000 €,,40 m2 ,3 
209,Loja para restauração Prelada,Venda 160.000 €,,224 m2 ,- 
210,Loja duas frentes centro Porto,Venda 160.000 €,,326 m2 ,- 
211,T1 Duplex Novo Leça da Palmeira,Venda 160.000 €,,71 m2 ,- 
212,T3+1 Vila de Conde,Venda 161.000 €,,125 m2 ,- 
213,Venda Terreno,Venda 163.000 €,,225 m2 ,- 
214,Venda Terreno,Venda 165.000 €,,1.950 m2 ,- 
215,Loja / Escritório ao Pinheiro Manso,Venda 165.000 €,,85 m2 ,- 
216,T0 Novo Matosinhos,Venda 165.000 €,,43 m2 ,1 
217,Terreno Chantre para moradia 3 frentes,Venda 165.000 €,,458 m2 ,- 
218,Escritório em Ermesinde,Venda 165.000 €,,181 m2 ,- 
219,"Loja para restauração Sobrado, valongo",Venda 165.000 €,,236 m2 ,- 
220,T3 Perafita/Freixieiro,Venda 165.000 €,,122 m2 ,- 
221,T1 Novo Cedofeita,Venda 165.000 €,,38 m2 ,- 
222,T3 Maia,Venda 165.000 €,,123 m2 ,- 
223,Excelente loja em Paranhos,Venda 165.000 €,,164 m2 ,- 
224,Moradia T2 Francos,Venda 167.500 €,,110 m2 ,- 
225,Moradia T3 Rio Tinto,Venda 170.000 €,,160 m2 ,3 
226,Terreno  Lousada,Venda 171.000 €,,13.640 m2 ,5 
227,Loja Cidade da Maia,Venda 172.000 €,,300 m2 ,- 
228,T3 Baguim do Monte,Venda 172.500 €,,130 m2 ,- 
229,Andar - moradia T3 - Maia,Venda 175.000 €,,150 m2 ,- 
230,T2 Centro Senhora da Hora,Venda 175.000 €,,107 m2 ,- 
231,Loja com terraço Porto próximo metro,Venda 176.000 €,,324 m2 ,2 
232,Loja S. Mamede de Infesta,Venda 176.000 €,,200 m2 ,- 
233,T2 transformado em T3 S. Mamede Infesta,Venda 180.000 €,,95 m2 ,- 
234,T2 Porto junto á Constituição,Venda 180.000 €,,60 m2 ,- 
235,Loja ou escritório em Francos,Venda 185.000 €,,158 m2 ,- 
236,T3+1 S. Mamede de Infesta - Monte Burgos,Venda 185.000 €,,115 m2 ,- 
237,Moradia V3 Campanhã,Venda 190.000 €,,60 m2 ,- 
238,T3 Dúplex Matosinhos,Venda 190.000 €,,110 m2 ,- 
239,"T2 Triplex, Paranhos",Venda 190.000 €,,78 m2 ,- 
240,T3 S. Cosme todo renovado,Venda 194.000 €,,115 m2 ,- 
241,Trespasse de Pão Quente em Perafita,Trespasse 195.000 €,,150 m2 ,- 
242,T3 Totalmente Renovado Leça da Palmeira,Venda 195.000 €,,138 m2 ,- 
243,T3 Perafita junto ao Mar,Venda 195.000 €,,132 m2 ,- 
244,T2 Lavra Agudela,Venda 195.000 €,,92 m2 ,- 
245,"T1 Marques, Mobilado e equipado c/ garagem",Venda 196.000 €,,76 m2 ,- 
246,"T3 Ermesinde, Santa Rita - Novo",Venda 196.800 €,,120 m2 ,- 
247,T2 Moreira mobilado e equipado,Venda 197.000 €,,100 m2 ,- 
248,Moradia para recuperar Jovim,Venda 198.400 €,,292 m2 ,- 
249,Moradia  T3 São Roque da Lameira,Venda 198.500 €,,253 m2 ,- 
250,Loja em Leça da Palmeira,Venda 200.000 €,,200 m2 ,4 
251,Excelente T3+1 ao Luso Francês,Venda 200.000 €,,115 m2 ,2 
252,2 Lotes Terrenos Sra. Hora,Venda 200.000 €,,250 m2 ,- 
253,Venda Escritório,Venda 202.400 €,,185 m2 ,- 
254,Escritório Porto,Venda 209.000 €,,152 m2 ,- 
255,Bar / Dancing Club / Restaurante para Trespasse em Valongo,Trespasse 210.000 €,,400 m2 ,3 
256,T1 Novo Paranhos com Terraço - Universidades,Venda 212.500 €,,72 m2 ,- 
257,T2 Novo Ramalde,Venda 214.000 €,,103 m2 ,5 
258,Venda Terreno,Venda 215.000 €,,2.400 m2 ,- 
259,Moradia T4 Povoa Varzim,Venda 219.000 €,,400 m2 ,- 
260,T4 Recuado Campanhã,Venda 219.000 €,,170 m2 ,5 
261,Residencial junto ao rio Douro,Venda 220.000 €,,286 m2 ,- 
262,Venda Terreno,Venda 225.000 €,,0 m2 ,- 
263,Moradia V6 Vila Nova de Cerveira,Venda 225.000 €,,500 m2 ,- 
264,"Moradia V3 Canidelo, Vila do Conde",Venda 225.000 €,,340 m2 ,- 
265,Loja Santa Catarina junto ao Marques,Venda 226.100 €,,342 m2 ,- 
266,T3 novos Árvore Vila de Conde,Venda 227.450 €,,113 m2 ,- 
267,T2 novos Árvore Vila de Conde,Venda 227.500 €,,100 m2 ,- 
268,Terreno Leça do Balio,Venda 230.000 €,,823 m2 ,- 
269,Moradia T3 remodelada ao Maiashopping,Venda 235.000 €,,140 m2 ,- 
